COMUNIDAD_AUTONOMA$PROVINCIA$LOCALIDAD$DENOMINACIONGENERICA$DENOMINACIONESPECIFICA$CODIGO$NATURALEZA$DOMICILIO$CODPOSTAL$TELEFONO
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Alicún$Colegio de Educación Infantil y Primaria$Alicún-Huécija$04602109$de Alicún a Huécija                                                             $04409$950156898
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$Alcazaba$04500581$Cervantes, 4                                                                    $04003$950153302
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$Almariya$04501093$Virgen de las Angustias, s/n                                                    $04009$671593042
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$Azorín$04501135$Arcipreste de Hita, 26                                                          $04006$950153109
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$Barrio Alto$04500660$Béjar, 19                                                                       $04005$647756718
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$El Puche$04500672$Marenostrum, 1                                                                  $04009$950156520
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$Fuentecica$04500696$Fernando de Rojas, 4 C.P. Alfredo Molina Martín                                 $04008$950156638
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$Infanta Leonor-Los Almendros$04500726$Los Almendros, s/n. C.P. Los Almendros                                          $04009$671599994
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$La Chanca$04500763$del Mar s/n                                                                     $04002$950156636
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$Los Molinos$04500659$Carrera del Mamí, n.º 110                                                       $04009$950228781
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$Quemadero$04500684$Largo Caballero, 41, Bajo                                                       $04008$950156629
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$Quinientas Viviendas$04500751$Gijón nº1                                                                       $04007$950156581
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$Retamar$04500775$de los Úbeda, s/n                                                               $04071$950153102
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$San Luis-Torrecárdenas$04501101$de Alhadra s/n                                                                  $04009$950156621
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro Específico de Educación Especial$C.Apoyo.I.Sordos Rosa Relaño$04001291$Carrera Limoneros, 15$04080$950156547
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro Específico de Educación Especial$Provincial Princesa Sofía$04000985$Pablo Neruda, 5                                                                 $04009$950156545
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro Público Integrado de Formación Profesional$Almeraya$04001205$de la Caridad, 125                                                              $04008$950156552
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Adela Díaz$04005673$Padre Méndez, s/n$04006$950156206
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Alfredo Molina Martín$04601567$Fernando de Rojas, 4$04008$950156272
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Ángel Suquía$04001072$Sierra de Bacares, 1$04009$950156142
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Ave María del Diezmo$04001229$Carrera del Mami, 110                                                           $04009$950156166
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Ave María del Quemadero$04000924$Barranco Bolas, 7$04008$950156132
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Colonia Araceli$04005235$Virgen de las Angustias, 2$04009$950156201
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$El Puche$04001308$Mare Nostrum, 56                                                                $04009$950156175
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Europa José Ramos Santander$04000857$Madre María Aznar, 272                                                          $04009$950156697
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Francisco de Goya$04000997$de la Cruz de Caravaca, 222                                                     $04008$671535578
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Freinet$04000973$de Ronda, 100                                                                   $04006$950156136
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Giner de los Ríos$04000791$Cervantes, 4                                                                    $04003$950156115
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Ginés Morata$04006446$Sahara, 137$04009$950153325
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Indalo$04004954$Granada, 249                                                                    $04008$950156195
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Inés Relaño$04000808$General Luque, 31                                                               $04002$950156119
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Josefina Baro Soler$04005697$Mare Nostrum, s/n                                                               $04009$950156642
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Juan Ramón Jiménez$04000729$Alfarerías, 43$04008$950156109
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$La Chanca$04000811$del Mar, s/n                                                                    $04002$950156120
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Lope de Vega$04000870$Chile, 42                                                                       $04007$950156924
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Los Almendros$04000900$Los Almendros, s/n                                                              $04009$950156130
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Los Millares$04001281$Santa Isabel, s/n                                                               $04008$950156173
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Luis Siret$04001266$Santa Isabel, 29                                                                $04005$950156168
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Madre de la Luz$04005041$Calzada de Castro, 3                                                            $04006$950156550
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Mar Mediterráneo$04005326$Jóse Morales Abad, 9$04007$950156203
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Nueva Almería$04006100$Camino de Jaul, esquina Fernando Fernán Gómez                                   $04007$950156679
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Rafael Alberti$04602134$Marina, s/n$04007$950156208
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$San Fernando$04000948$Rodrigo Vivas Miras, 28$04007$950156134
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$San Gabriel$04000730$Villa de Artes, 13$04006$950156113
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$San Luis$04004671$De los Colegios, 12                                                             $04009$950156178
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$San Valentín$04000821$Burgos, 45                                                                      $04007$950156124
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Santa Isabel$04004747$la Molineta, 2$04008$950156184
